,prdtypecode
84916.0,2181
84917.0,1180
84918.0,2583
84919.0,2583
84920.0,2522
84921.0,1300
84922.0,1940
84923.0,2280
84924.0,1560
84925.0,2583
84926.0,2280
84927.0,1280
84928.0,1300
84929.0,1302
84930.0,1160
84931.0,10
84932.0,1140
84933.0,2280
84934.0,1281
84935.0,2462
84936.0,1140
84937.0,2585
84938.0,2522
84939.0,2522
84940.0,2462
84941.0,1920
84942.0,1320
84943.0,2583
84944.0,1300
84945.0,2462
84946.0,2060
84947.0,10
84948.0,1560
84949.0,2585
84950.0,1920
84951.0,2583
84952.0,2060
84953.0,10
84954.0,2220
84955.0,1140
84956.0,2905
84957.0,2585
84958.0,2462
84959.0,1280
84960.0,1281
84961.0,1280
84962.0,2705
84963.0,2583
84964.0,1281
84965.0,2522
84966.0,1300
84967.0,2705
84968.0,1920
84969.0,2462
84970.0,2583
84971.0,2583
84972.0,2403
84973.0,50
84974.0,2280
84975.0,1920
84976.0,2583
84977.0,2583
84978.0,10
84979.0,1320
84980.0,2280
84981.0,2403
84982.0,1160
84983.0,2280
84984.0,2583
84985.0,2585
84986.0,2280
84987.0,2583
84988.0,2582
84989.0,2280
84990.0,1560
84991.0,1281
84992.0,2522
84993.0,2280
84994.0,1280
84995.0,50
84996.0,2060
84997.0,2583
84998.0,1300
84999.0,1920
85000.0,10
85001.0,1560
85002.0,2583
85003.0,2583
85004.0,1300
85005.0,2585
85006.0,1140
85007.0,1140
85008.0,2403
85009.0,1300
85010.0,2583
85011.0,1560
85012.0,1140
85013.0,2583
85014.0,1940
85015.0,1320
85016.0,2583
85017.0,2583
85018.0,1160
85019.0,2585
85020.0,2583
85021.0,2280
85022.0,2403
85023.0,2403
85024.0,2522
85025.0,2585
85026.0,1281
85027.0,2280
85028.0,2585
85029.0,2220
85030.0,2280
85031.0,2522
85032.0,40
85033.0,1940
85034.0,1160
85035.0,10
85036.0,2583
85037.0,2585
85038.0,40
85039.0,1920
85040.0,10
85041.0,1280
85042.0,1281
85043.0,2220
85044.0,2280
85045.0,1560
85046.0,1320
85047.0,2583
85048.0,1280
85049.0,1320
85050.0,2583
85051.0,1302
85052.0,2905
85053.0,1140
85054.0,2280
85055.0,2585
85056.0,2462
85057.0,10
85058.0,10
85059.0,2280
85060.0,1320
85061.0,2583
85062.0,2060
85063.0,1300
85064.0,1560
85065.0,1280
85066.0,10
85067.0,1160
85068.0,1300
85069.0,40
85070.0,2583
85071.0,1920
85072.0,1281
85073.0,40
85074.0,1160
85075.0,2705
85076.0,1920
85077.0,1300
85078.0,1320
85079.0,2403
85080.0,1160
85081.0,2462
85082.0,1302
85083.0,1940
85084.0,50
85085.0,2583
85086.0,2585
85087.0,1281
85088.0,1140
85089.0,1140
85090.0,2583
85091.0,2583
85092.0,2522
85093.0,2705
85094.0,2280
85095.0,1320
85096.0,10
85097.0,1920
85098.0,2583
85099.0,2462
85100.0,2403
85101.0,1300
85102.0,2583
85103.0,2060
85104.0,10
85105.0,2522
85106.0,2583
85107.0,2583
85108.0,2585
85109.0,10
85110.0,2705
85111.0,2583
85112.0,2583
85113.0,10
85114.0,2403
85115.0,1280
85116.0,2522
85117.0,2583
85118.0,1300
85119.0,1940
85120.0,1140
85121.0,1280
85122.0,1920
85123.0,1280
85124.0,1920
85125.0,1300
85126.0,2705
85127.0,2060
85128.0,2583
85129.0,50
85130.0,2462
85131.0,1320
85132.0,1560
85133.0,2583
85134.0,2582
85135.0,2522
85136.0,1140
85137.0,2522
85138.0,2060
85139.0,1140
85140.0,2705
85141.0,2583
85142.0,1320
85143.0,1300
85144.0,2905
85145.0,2583
85146.0,1300
85147.0,2583
85148.0,1280
85149.0,1180
85150.0,10
85151.0,2522
85152.0,10
85153.0,2280
85154.0,1940
85155.0,1320
85156.0,2522
85157.0,2583
85158.0,2522
85159.0,2705
85160.0,2403
85161.0,2583
85162.0,1920
85163.0,2522
85164.0,2462
85165.0,1300
85166.0,2582
85167.0,1160
85168.0,1300
85169.0,2280
85170.0,50
85171.0,2522
85172.0,1160
85173.0,2403
85174.0,2583
85175.0,1920
85176.0,1920
85177.0,1160
85178.0,1280
85179.0,2583
85180.0,10
85181.0,1920
85182.0,1300
85183.0,1301
85184.0,1920
85185.0,1160
85186.0,1280
85187.0,1920
85188.0,1302
85189.0,1300
85190.0,2582
85191.0,2060
85192.0,1320
85193.0,2522
85194.0,1920
85195.0,60
85196.0,1560
85197.0,2522
85198.0,2583
85199.0,2403
85200.0,1560
85201.0,2060
85202.0,1280
85203.0,1300
85204.0,2522
85205.0,2583
85206.0,10
85207.0,1160
85208.0,1140
85209.0,2280
85210.0,1281
85211.0,2280
85212.0,1320
85213.0,1281
85214.0,2585
85215.0,2280
85216.0,2280
85217.0,2522
85218.0,2280
85219.0,2060
85220.0,1140
85221.0,1920
85222.0,1920
85223.0,1140
85224.0,1920
85225.0,10
85226.0,1280
85227.0,2705
85228.0,1560
85229.0,2403
85230.0,1300
85231.0,2060
85232.0,1300
85233.0,1302
85234.0,10
85235.0,10
85236.0,1160
85237.0,2705
85238.0,2060
85239.0,50
85240.0,2280
85241.0,2583
85242.0,1280
85243.0,2585
85244.0,1320
85245.0,1320
85246.0,10
85247.0,2583
85248.0,2705
85249.0,2583
85250.0,2705
85251.0,2585
85252.0,1320
85253.0,10
85254.0,10
85255.0,2583
85256.0,2522
85257.0,2583
85258.0,1300
85259.0,1300
85260.0,1560
85261.0,1140
85262.0,1920
85263.0,2403
85264.0,2403
85265.0,10
85266.0,2583
85267.0,1300
85268.0,1940
85269.0,2060
85270.0,1140
85271.0,2280
85272.0,1920
85273.0,2705
85274.0,1920
85275.0,1180
85276.0,1280
85277.0,2060
85278.0,2705
85279.0,2403
85280.0,1300
85281.0,1300
85282.0,2583
85283.0,2583
85284.0,2585
85285.0,10
85286.0,2583
85287.0,2583
85288.0,2522
85289.0,2403
85290.0,2582
85291.0,2060
85292.0,1300
85293.0,1160
85294.0,2280
85295.0,2280
85296.0,1560
85297.0,1560
85298.0,1160
85299.0,2060
85300.0,2522
85301.0,2583
85302.0,1160
85303.0,1300
85304.0,1560
85305.0,2060
85306.0,1302
85307.0,1560
85308.0,2280
85309.0,2582
85310.0,1920
85311.0,40
85312.0,1300
85313.0,2583
85314.0,1320
85315.0,2705
85316.0,1560
85317.0,1320
85318.0,2462
85319.0,2403
85320.0,1560
85321.0,1140
85322.0,2403
85323.0,1920
85324.0,2462
85325.0,2403
85326.0,10
85327.0,1160
85328.0,1320
85329.0,10
85330.0,2522
85331.0,2060
85332.0,2585
85333.0,2522
85334.0,1302
85335.0,40
85336.0,1300
85337.0,2585
85338.0,2280
85339.0,10
85340.0,2522
85341.0,1560
85342.0,1920
85343.0,1560
85344.0,1280
85345.0,1940
85346.0,1140
85347.0,10
85348.0,2060
85349.0,1281
85350.0,2583
85351.0,2060
85352.0,1160
85353.0,1300
85354.0,1280
85355.0,1920
85356.0,1302
85357.0,2583
85358.0,1280
85359.0,50
85360.0,2585
85361.0,2403
85362.0,1320
85363.0,2705
85364.0,1320
85365.0,2280
85366.0,1300
85367.0,10
85368.0,2583
85369.0,2585
85370.0,50
85371.0,1300
85372.0,1320
85373.0,2060
85374.0,2280
85375.0,2522
85376.0,1320
85377.0,2705
85378.0,1320
85379.0,1920
85380.0,2705
85381.0,2585
85382.0,1160
85383.0,1920
85384.0,2705
85385.0,1320
85386.0,50
85387.0,1140
85388.0,40
85389.0,10
85390.0,2583
85391.0,2585
85392.0,10
85393.0,1160
85394.0,2585
85395.0,2403
85396.0,10
85397.0,2403
85398.0,2583
85399.0,2583
85400.0,2403
85401.0,2462
85402.0,1920
85403.0,2583
85404.0,2705
85405.0,2583
85406.0,1320
85407.0,2522
85408.0,1560
85409.0,2582
85410.0,2060
85411.0,10
85412.0,40
85413.0,1280
85414.0,2582
85415.0,1320
85416.0,2705
85417.0,1300
85418.0,1300
85419.0,2280
85420.0,1280
85421.0,1300
85422.0,50
