,prdtypecode
0,0
1,18
2,2
3,7
4,25
5,18
6,0
7,21
8,7
9,22
10,13
11,13
12,8
13,14
14,13
15,21
16,19
17,21
18,4
19,18
20,23
21,7
22,6
23,4
24,9
25,20
26,7
27,21
28,18
29,5
30,16
31,1
32,13
33,21
34,1
35,16
36,16
37,8
38,14
39,23
40,3
41,6
42,21
43,8
44,18
45,14
46,0
47,1
48,5
49,7
50,1
51,19
52,8
53,23
54,19
55,7
56,25
57,19
58,23
59,9
60,7
61,19
62,12
63,9
64,23
65,23
66,4
67,16
68,18
69,19
70,23
71,20
72,4
73,22
74,19
75,18
76,11
77,16
78,13
79,11
80,2
81,9
82,17
83,16
84,23
85,13
86,20
87,13
88,7
89,21
90,23
91,23
92,14
93,7
94,21
95,13
96,19
97,21
98,4
99,16
100,22
101,1
102,18
103,14
104,9
105,9
106,6
107,1
108,23
109,5
110,4
111,25
112,18
113,19
114,11
115,5
116,23
117,23
118,23
119,13
120,11
121,16
122,19
123,16
124,12
125,11
126,4
127,18
128,7
129,18
130,23
131,0
132,13
133,13
134,9
135,8
136,7
137,18
138,12
139,23
140,9
141,25
142,1
143,12
144,25
145,23
146,9
147,7
148,26
149,21
150,25
151,7
152,23
153,9
154,6
155,5
156,19
157,14
158,13
159,21
160,4
161,19
162,24
163,2
164,25
165,2
166,18
167,23
168,16
169,18
170,13
171,23
172,7
173,18
174,23
175,16
176,24
177,14
178,23
179,5
180,3
181,9
182,13
183,16
184,23
185,11
186,18
187,16
188,0
189,19
190,16
191,12
192,19
193,19
194,13
195,1
196,4
197,25
198,21
199,9
200,15
201,23
202,7
203,15
204,1
205,14
206,23
207,2
208,23
209,7
210,21
211,2
212,16
213,16
214,7
215,7
216,16
217,25
218,23
219,9
220,13
221,25
222,18
223,13
224,23
225,5
226,14
227,9
228,5
229,8
230,12
231,21
232,18
233,18
234,23
235,9
236,19
237,9
238,20
239,14
240,5
241,23
242,23
243,21
244,25
245,12
246,11
247,0
248,23
249,22
250,14
251,13
252,1
253,14
254,21
255,19
256,14
257,10
258,0
259,0
260,16
261,14
262,25
263,13
264,23
265,23
266,22
267,9
268,14
269,11
270,3
271,13
272,24
273,13
274,9
275,24
276,4
277,9
